,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
apparent_temperature_min__mean_7d,0.1125329350430828,0.0425139350584814,-0.030080331301659293,0.06355852932655405,0.011949002411420185,-0.05994080586861836,0.05484843289875057,-0.04762593386048649,-0.05908914512249616,-0.0155201690651993,0.010019582243562652,0.006266307534875012,-0.032613809733222573,-0.017668347094498504,-0.001957615082166585,6.844974314921398e-05,-0.09042889332772353,-0.018908107716953698,-0.034814304421493414,0.04866020942970585
apparent_temperature_min__mean_13d,0.10982704941876516,0.04341624491659689,-0.036337276737003495,0.07614252243151123,-0.0065572827276968735,-0.05772553279353102,0.05144399339379028,-0.0376403180646944,-0.11710451689643618,-0.02196369783755443,0.04360261374448429,-0.0028450632076208967,-0.008927890638205985,-0.011430536131767395,-0.07072746469103686,-0.04506647370898318,-0.11314250912734253,0.02591310389472624,-0.016249913878231895,0.030242738713997856
apparent_temperature_min__peak_7d,0.1116492490606304,0.04670801800830649,-0.025906364462032514,0.06216261353953665,0.017184377768881084,-0.04901014702682979,0.06720596421500222,-0.04007363156246548,-0.050438539403032875,-0.02545922781945487,-0.011796952581661795,-0.004306537796085302,0.002968677125594141,-0.002318901179379342,0.0021648117422135406,0.03709139950309726,-0.07688764211185646,0.008709969622119835,-0.03730264886463507,-0.050411508983969566
apparent_temperature_min__peak_14d,0.10822738371373376,0.04724769472592702,-0.04202387307322314,0.06952154559586297,-0.006686006170900935,-0.054745348216837145,0.06385427170335259,-0.0335652608778098,-0.0950152105488051,-0.019218836722728415,0.03571319248337063,-0.037213927649629525,0.01248457465241017,-0.007563002836856873,-0.08445501103144742,-0.0245918076252521,-0.0964969166484024,0.11493854462230668,0.031176931232514967,-0.06689215142147686
apparent_temperature_mean__day1,0.11389019328515973,0.013647929806979327,-0.02979008795950421,0.023961503012676036,0.009655448834287641,-0.04256381947488989,0.044585190068612064,-0.07989353156118835,0.09994599010342624,0.0860448559174225,-0.043775373469504164,0.05812353475490528,-0.006718852079736211,0.01570290161398053,0.06671056411301989,0.028253877697625787,0.09026030599829402,-0.011981112919607125,-0.03257479751518875,-0.010471815416281456
apparent_temperature_mean__mean_2d,0.11509285200013249,0.01509771024166846,-0.02798403748853243,0.030819629114348185,0.024746563891230998,-0.04613967280099239,0.045417150152489955,-0.07065290136590079,0.08385962957614565,0.07550106999129981,-0.03487482366101495,0.04053688210404037,-0.0034654397360721185,0.006448117057405686,0.07106185766427664,0.02814191260189529,0.06991971519465599,-0.03855063374102044,-0.0042946488743642675,0.0034062075417978332
apparent_temperature_mean__mean_3d,0.11595931839345948,0.016822925338575535,-0.02585210316887794,0.035208216168857026,0.03131551178023469,-0.04734173483612846,0.04309755996997095,-0.06059337751645056,0.057565653024071725,0.05042878314268736,-0.02354706752849928,0.02571839225984523,0.0008409917618186076,-0.008587032955740315,0.0635077376172638,0.020140812916868107,0.032759427809504964,-0.04939755115766072,0.003325450691771363,0.016532328413617393
apparent_temperature_mean__mean_7d,0.11638631185754979,0.02461454225723716,-0.02264609139056572,0.04759437446357818,0.021894094477488506,-0.041895581458220095,0.042451663065999505,-0.03585292123717877,-0.036954263488269946,-0.01292367908580896,0.003736403864358988,-0.011752283501621205,-0.005421023612244805,-0.012083724872638434,0.008305433441919958,0.017983219522012463,-0.06282167469449708,-0.016320056314203062,-0.020321019926474934,0.0447795671604333
apparent_temperature_mean__mean_13d,0.11404868798577256,0.0304312571115952,-0.028157983184922224,0.05946891792946161,0.007160824410356272,-0.04179071613586431,0.04094928738582334,-0.024128008146367185,-0.10394118939517995,-0.031280408689414535,0.031555497378195616,-0.01129821385580104,0.007785934045203886,0.001500048338341994,-0.06346000871883006,-0.030517950226420624,-0.09045855402911251,0.029083869017366457,-0.010178098563843543,0.042419321217339406
apparent_temperature_mean__peak_7d,0.11556505367057471,0.03109705329626579,-0.018110185891006592,0.044142984186997074,0.019343940002373106,-0.026961218752874706,0.048106563101977515,-0.03200247010221015,-0.0391685095142787,-0.04010259493577187,-0.01635090364477179,-0.019339713094247847,0.03135805340701357,0.0018454528415685382,-0.0040182596674297605,0.034541345238110414,-0.04626267131568909,0.025386637468937597,-0.028141918339910754,-0.04430355047075971
