block,pc,rank,feature,loading_signed,loading_abs
combined,PC10,8,lymphocyte count,0.24563540303573747,0.24563540303573747
combined,PC10,9,moon_phase_sin,0.16875543634280027,0.16875543634280027
combined,PC10,10,snowfall_sum__mean_2d,-0.15302888194339778,0.15302888194339778
combined,PC10,11,snowfall_sum__day1,-0.1385512473923381,0.1385512473923381
combined,PC10,12,snowfall_sum__mean_3d,-0.1307216497239625,0.1307216497239625
combined,PC10,13,K value,0.129124116397502,0.129124116397502
combined,PC10,14,precipitation_hours__peak_14d,0.11870770727991907,0.11870770727991907
combined,PC10,15,wind_direction_10m_dominant__peak_14d,-0.11203439215741676,0.11203439215741676
combined,PC10,16,wind_direction_10m_dominant__peak_7d,-0.10046055453757595,0.10046055453757595
combined,PC10,17,precipitation_hours__mean_13d,0.09267411289465685,0.09267411289465685
combined,PC10,18,body weight__missing,0.09214561587472933,0.09214561587472933
combined,PC10,19,BUN concentration,-0.08126342309247299,0.08126342309247299
combined,PC10,20,wind_gusts_10m_max__mean_7d,-0.07480972822443371,0.07480972822443371
