disease,perm_idx,perm_mean_auc
acute pancreatitis,7,0.526597831776253
acute pancreatitis,8,0.4072410620149908
acute pancreatitis,9,0.4971620797042663
acute pancreatitis,10,0.651516477679976
acute pancreatitis,11,0.44795015677722444
acute pancreatitis,12,0.4942904089629236
acute pancreatitis,13,0.5401519741396426
acute pancreatitis,14,0.5369907921000896
acute pancreatitis,15,0.556823265295026
acute pancreatitis,16,0.5397504364005652
acute pancreatitis,17,0.5027720849506563
acute pancreatitis,18,0.5673222560214429
acute pancreatitis,19,0.4884764502786183
acute pancreatitis,20,0.521361013999585
acute pancreatitis,21,0.5922123516073096
acute pancreatitis,22,0.4797746241098855
acute pancreatitis,23,0.6372946759361906
acute pancreatitis,24,0.46501912748132124
acute pancreatitis,25,0.4899390289024435
acute pancreatitis,26,0.5119305467840813
acute pancreatitis,27,0.5337013191080513
acute pancreatitis,28,0.46889501753117313
acute pancreatitis,29,0.5136791042505328
acute pancreatitis,30,0.49348633741854864
acute pancreatitis,31,0.5689041857480708
acute pancreatitis,32,0.4767080921330676
acute pancreatitis,33,0.5754211196866594
acute pancreatitis,34,0.5374359582121085
acute pancreatitis,35,0.4909945062311422
acute pancreatitis,36,0.549121522917532
acute pancreatitis,37,0.4143013764103481
acute pancreatitis,38,0.4982607257141418
acute pancreatitis,39,0.4345722154580621
acute pancreatitis,40,0.4914240812521296
acute pancreatitis,41,0.437128713774461
acute pancreatitis,42,0.6004380609821792
acute pancreatitis,43,0.5529040010813409
acute pancreatitis,44,0.5067228957428445
acute pancreatitis,45,0.474992222419123
acute pancreatitis,46,0.4518262210267222
acute pancreatitis,47,0.49562650067737907
acute pancreatitis,48,0.5760095778220904
acute pancreatitis,49,0.5012683241382401
acute pancreatitis,50,0.5368679059812065
acute pancreatitis,51,0.47313522165568944
acute pancreatitis,52,0.41171748671748676
acute pancreatitis,53,0.49397678342122786
acute pancreatitis,54,0.5867292864067505
acute pancreatitis,55,0.44551758492942095
acute pancreatitis,56,0.45453864758212587
acute pancreatitis,57,0.5270930309131348
acute pancreatitis,58,0.49304440193955645
acute pancreatitis,59,0.4896504258991804
acute pancreatitis,60,0.5163241143461412
acute pancreatitis,61,0.507047684903697
acute pancreatitis,62,0.5072409895373282
acute pancreatitis,63,0.4181349588454852
acute pancreatitis,64,0.4899124056825602
acute pancreatitis,65,0.5844916819702294
acute pancreatitis,66,0.5769614601796025
acute pancreatitis,67,0.470399226786952
acute pancreatitis,68,0.45353543335039753
acute pancreatitis,69,0.5073911183007602
acute pancreatitis,70,0.4432925783636378
acute pancreatitis,71,0.5169144576132184
acute pancreatitis,72,0.5695186569290984
acute pancreatitis,73,0.5706976186248627
acute pancreatitis,74,0.4686910956312177
acute pancreatitis,75,0.46945170513230144
acute pancreatitis,76,0.45757240889827216
acute pancreatitis,77,0.5730696208712279
acute pancreatitis,78,0.5040349518913348
acute pancreatitis,79,0.5223712798113528
acute pancreatitis,80,0.5206967227880925
acute pancreatitis,81,0.5363436656822916
acute pancreatitis,82,0.49755119907558926
acute pancreatitis,83,0.4662108619316857
acute pancreatitis,84,0.5313681548802363
acute pancreatitis,85,0.48965180921321283
acute pancreatitis,86,0.5350420248526795
acute pancreatitis,87,0.42600539444723884
acute pancreatitis,88,0.40003178623460733
acute pancreatitis,89,0.4238893081642452
acute pancreatitis,90,0.424419029704744
acute pancreatitis,91,0.44972064984142274
acute pancreatitis,92,0.5822266139657444
acute pancreatitis,93,0.4438384108185599
acute pancreatitis,94,0.5335321869993653
acute pancreatitis,95,0.41580110966893064
acute pancreatitis,96,0.5294276046557792
acute pancreatitis,97,0.47534660368870896
acute pancreatitis,98,0.4172920381226029
acute pancreatitis,99,0.4964795404342442
acute pancreatitis,100,0.44389851986179085
acute pancreatitis,101,0.575178941775922
acute pancreatitis,102,0.5407306655181777
acute pancreatitis,103,0.5102390622864597
acute pancreatitis,104,0.5924394095822667
acute pancreatitis,105,0.5417097385234995
acute pancreatitis,106,0.5516169614961886
acute pancreatitis,107,0.48886357216588283
acute pancreatitis,108,0.49479714583588397
acute pancreatitis,109,0.5044473045990074
acute pancreatitis,110,0.49302295167458066
acute pancreatitis,111,0.4435613219006484
acute pancreatitis,112,0.5824319885661788
acute pancreatitis,113,0.5093285225661429
acute pancreatitis,114,0.4782541552040439
acute pancreatitis,115,0.3953744193860473
acute pancreatitis,116,0.5028472487741494
acute pancreatitis,117,0.5681694236042063
acute pancreatitis,118,0.4375614105015739
acute pancreatitis,119,0.45111318889096663
acute pancreatitis,120,0.47142499092119516
acute pancreatitis,121,0.491625155360824
acute pancreatitis,122,0.43801105472234847
acute pancreatitis,123,0.47170856521633064
acute pancreatitis,124,0.5378132744605469
acute pancreatitis,125,0.5083142218480564
acute pancreatitis,126,0.48200805804924796
acute pancreatitis,127,0.5284358989505188
acute pancreatitis,128,0.5372171566335329
acute pancreatitis,129,0.42707032445476384
acute pancreatitis,130,0.5660614767790952
acute pancreatitis,131,0.4548035276906782
acute pancreatitis,132,0.49911046032431833
acute pancreatitis,133,0.4814871731976179
acute pancreatitis,134,0.42550961771422624
acute pancreatitis,135,0.44111504253167355
acute pancreatitis,136,0.5645906292263233
acute pancreatitis,137,0.4735167459798785
acute pancreatitis,138,0.45479896197732045
acute pancreatitis,139,0.5391604891186635
acute pancreatitis,140,0.4334133784447256
acute pancreatitis,141,0.46788979304927525
