disease,feature_block,feature,mean_abs_shap,std_abs_shap,n_folds
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2007-08-01,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2007-08-02,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2007-09-05,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2008-01-01,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2008-03-01,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2008-04-04,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2008-04-30,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2008-06-01,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2008-07-01,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2008-08-15,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2008-09-13,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2009-01-01,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2009-04-01,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2009-04-04,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2009-05-01,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2009-05-13,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2009-06-25,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2009-07-01,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2009-07-10,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2009-08-01,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2009-08-03,0.0,0.0,4
